,datetime,open,high,low,close
286,2021-10-03 14:30:00,47987.08984,48000.00000,47973.39062,47991.37109
287,2021-10-03 14:35:00,47970.60156,47990.28125,47951.01172,47990.05078
288,2021-10-03 14:40:00,47982.05859,47999.01172,47964.57812,47999.01172
289,2021-10-03 14:45:00,48000.00000,48024.41016,47991.01172,47996.05078
290,2021-10-03 14:50:00,47988.51172,47988.51172,47900.00000,47939.94141
291,2021-10-03 14:55:00,47933.19922,47963.33984,47907.60156,47963.33984
292,2021-10-03 15:00:00,47966.53906,47966.53906,47899.98828,47919.46094
293,2021-10-03 15:05:00,47923.44922,47958.62891,47923.44922,47958.62891
294,2021-10-03 15:10:00,47964.78906,47993.98828,47954.01172,47993.60156
295,2021-10-03 15:15:00,47989.41016,48006.17188,47975.55078,48002.17969
296,2021-10-03 15:20:00,47983.98047,47991.82031,47930.00000,47930.00000
297,2021-10-03 15:25:00,47925.01172,47925.01172,47878.28906,47892.26172
298,2021-10-03 15:30:00,47899.37109,47943.21875,47878.44922,47915.69922
299,2021-10-03 15:35:00,47912.82031,47927.12891,47883.57031,47883.89844
300,2021-10-03 15:40:00,47872.05078,47872.05078,47813.48828,47818.46875
301,2021-10-03 15:45:00,47831.96875,47864.55078,47830.00000,47830.42188
302,2021-10-03 15:50:00,47826.76172,47854.01953,47814.28906,47848.16016
303,2021-10-03 15:55:00,47840.51172,47871.57812,47840.51172,47865.69141
304,2021-10-03 16:00:00,47878.82031,47959.67969,47878.82031,47906.62109
305,2021-10-03 16:05:00,47907.67188,47907.67188,47842.10938,47842.10938
306,2021-10-03 16:10:00,47842.05859,47860.05078,47842.05859,47859.98828
307,2021-10-03 16:15:00,47878.03125,47924.80078,47878.03125,47912.26172
308,2021-10-03 16:20:00,47924.35156,47950.01953,47913.23047,47950.01953
309,2021-10-03 16:25:00,47933.69922,47980.41016,47933.69922,47955.57031
310,2021-10-03 16:30:00,47966.87109,47979.01172,47918.62109,47920.01953
311,2021-10-03 16:35:00,47922.16016,47931.73828,47907.82812,47925.08984
312,2021-10-03 16:40:00,47915.71875,47969.98047,47915.71875,47966.14062
313,2021-10-03 16:45:00,47950.01953,48042.35156,47950.01953,48027.55859
314,2021-10-03 16:50:00,48017.60938,48062.08984,48017.60938,48045.08984
315,2021-10-03 16:55:00,48061.75000,48061.75000,47984.85938,48030.01172
316,2021-10-03 17:00:00,48046.66016,48057.60938,48000.00000,48000.00000
317,2021-10-03 17:05:00,48007.00000,48055.17188,48007.00000,48049.19141
318,2021-10-03 17:10:00,48047.28906,48095.19141,48047.28906,48095.19141
319,2021-10-03 17:15:00,48084.55859,48084.55859,48043.35156,48060.39844
320,2021-10-03 17:20:00,48059.12891,48123.48047,48059.12891,48074.03906
321,2021-10-03 17:25:00,48069.50000,48070.48828,48031.78906,48057.35156
322,2021-10-03 17:30:00,48036.80078,48043.07031,47950.35156,48043.07031
323,2021-10-03 17:35:00,48038.30859,48038.30859,48013.42188,48013.69141
324,2021-10-03 17:40:00,48006.44141,48042.32812,48001.89844,48006.75000
325,2021-10-03 17:45:00,48010.64062,48244.91016,48010.64062,48244.91016
326,2021-10-03 17:50:00,48588.48828,49123.26172,48588.48828,48827.96094
327,2021-10-03 17:55:00,48833.55078,48931.23828,48778.07812,48912.21875
328,2021-10-03 18:00:00,48890.00000,49124.00000,48890.00000,49124.00000
329,2021-10-03 18:05:00,49159.00000,49159.00000,48947.03906,48970.69141
330,2021-10-03 18:10:00,48969.87891,49000.01172,48800.42969,48800.42969
331,2021-10-03 18:15:00,48659.00000,48798.98828,48655.19922,48790.91016
332,2021-10-03 18:20:00,48805.00000,48904.12891,48805.00000,48888.05859
333,2021-10-03 18:25:00,48870.00000,48979.23828,48870.00000,48973.51953
334,2021-10-03 18:30:00,48929.73047,48969.98828,48929.73047,48935.10156
335,2021-10-03 18:35:00,48935.10156,48950.00000,48912.35938,48947.10156
336,2021-10-03 18:40:00,48942.23828,48977.98828,48886.62109,48937.89062
337,2021-10-03 18:45:00,48901.05078,48901.05078,48809.05859,48829.94141
338,2021-10-03 18:50:00,48815.51172,48873.66016,48815.51172,48823.69141
339,2021-10-03 18:55:00,48814.57812,48849.21094,48777.01172,48840.00000
340,2021-10-03 19:00:00,48820.14844,48884.98828,48804.82812,48809.39062
341,2021-10-03 19:05:00,48836.48047,48896.37109,48836.48047,48877.32812
342,2021-10-03 19:10:00,48905.62891,48917.03906,48878.64062,48889.98828
343,2021-10-03 19:15:00,48891.67188,48948.48828,48891.67188,48900.01172
344,2021-10-03 19:20:00,48890.00000,48935.60938,48890.00000,48927.69922
345,2021-10-03 19:25:00,48912.05078,48924.66016,48844.01172,48844.01172
346,2021-10-03 19:30:00,48863.98047,48927.66016,48863.98047,48900.00000
347,2021-10-03 19:35:00,48886.41016,48904.21094,48877.92969,48899.39844
348,2021-10-03 19:40:00,48886.89062,48917.14844,48883.37891,48908.69141
349,2021-10-03 19:45:00,48879.01172,48919.98828,48850.03906,48851.57031
350,2021-10-03 19:50:00,48860.80078,48862.01172,48740.37109,48784.98828
351,2021-10-03 19:55:00,48758.03906,48838.92969,48750.01172,48791.83984
352,2021-10-03 20:00:00,48806.14062,48834.60938,48800.01172,48814.87891
353,2021-10-03 20:05:00,48806.28906,48808.80078,48750.01172,48767.82812
354,2021-10-03 20:10:00,48808.26953,48808.26953,48692.89844,48692.89844
355,2021-10-03 20:15:00,48691.41016,48732.87109,48658.64062,48699.87109
356,2021-10-03 20:20:00,48703.10938,48710.39062,48660.82031,48688.48047
